timestamp,load_actual_entsoe_transparency,load_forecast_entsoe_transparency,price_day_ahead,solar_generation_actual,wind_onshore_generation_actual
2017-12-31T23:00:00Z,6155,6675,-17.0,0.0,915
2018-01-01T00:00:00Z,5934,6367,-31.0,0.0,832
2018-01-01T01:00:00Z,5729,6230,-35.0,0.0,926
2018-01-01T02:00:00Z,5467,6057,-40.0,0.0,692
2018-01-01T03:00:00Z,5327,6048,-43.0,0.0,453
2018-01-01T04:00:00Z,5423,6195,-50.0,0.0,321
2018-01-01T05:00:00Z,5457,6339,-42.0,0.0,323
2018-01-01T06:00:00Z,5892,6803,-44.0,8.0,332
2018-01-01T07:00:00Z,6145,7153,-39.0,21.0,304
2018-01-01T08:00:00Z,6508,7505,-33.0,66.0,276
2018-01-01T09:00:00Z,6832,7738,-19.0,125.0,337
2018-01-01T10:00:00Z,7115,7843,-4.0,169.0,523
2018-01-01T11:00:00Z,7144,7679,-8.0,184.0,781
2018-01-01T12:00:00Z,7048,7498,-12.0,165.0,994
2018-01-01T13:00:00Z,6992,7393,-6.0,115.0,885
2018-01-01T14:00:00Z,6936,7427,1.0,56.0,739
2018-01-01T15:00:00Z,7199,7829,8.0,18.0,495
2018-01-01T16:00:00Z,7543,8186,15.0,8.0,233
2018-01-01T17:00:00Z,7608,8183,18.0,8.0,197
2018-01-01T18:00:00Z,7323,7901,24.0,0.0,221
2018-01-01T19:00:00Z,6953,7569,32.0,0.0,215
2018-01-01T20:00:00Z,6524,7248,29.0,0.0,187
2018-01-01T21:00:00Z,6559,7362,31.0,0.0,150
2018-01-01T22:00:00Z,6200,6935,24.0,0.0,135
2018-01-01T23:00:00Z,5942,7002,16.0,0.0,234
2018-01-02T00:00:00Z,5606,6743,16.0,0.0,337
2018-01-02T01:00:00Z,5478,6608,11.0,0.0,504
2018-01-02T02:00:00Z,5430,6469,10.0,0.0,572
2018-01-02T03:00:00Z,5602,6644,15.0,0.0,451
2018-01-02T04:00:00Z,6209,7355,21.0,0.0,484
2018-01-02T05:00:00Z,7007,8524,27.0,0.0,680
2018-01-02T06:00:00Z,7915,9470,36.0,8.0,1113
2018-01-02T07:00:00Z,8401,9714,39.0,24.0,1606
2018-01-02T08:00:00Z,8682,9688,44.0,78.0,1918
2018-01-02T09:00:00Z,8770,9679,40.0,153.0,2037
2018-01-02T10:00:00Z,8877,9637,41.0,208.0,2167
2018-01-02T11:00:00Z,8821,9454,41.0,226.0,2280
2018-01-02T12:00:00Z,8681,9425,38.0,206.0,2156
2018-01-02T13:00:00Z,8610,9406,35.0,154.0,2062
2018-01-02T14:00:00Z,8656,9483,38.0,77.0,2037
2018-01-02T15:00:00Z,8891,9797,40.0,22.0,1813
2018-01-02T16:00:00Z,9273,10010,44.0,8.0,1659
2018-01-02T17:00:00Z,9145,9808,42.0,8.0,1732
2018-01-02T18:00:00Z,8651,9309,39.0,0.0,1679
2018-01-02T19:00:00Z,8092,8741,36.0,0.0,1723
2018-01-02T20:00:00Z,7507,8165,31.0,0.0,1854
2018-01-02T21:00:00Z,7549,7981,26.0,0.0,1982
2018-01-02T22:00:00Z,7003,7470,17.0,0.0,1749
2018-01-02T23:00:00Z,6654,7002,10.0,0.0,1061
2018-01-03T00:00:00Z,6357,6743,6.0,0.0,588
2018-01-03T01:00:00Z,6200,6608,-2.0,0.0,276
2018-01-03T02:00:00Z,6112,6469,-11.0,0.0,250
2018-01-03T03:00:00Z,6206,6644,-3.0,0.0,397
2018-01-03T04:00:00Z,6780,7355,0.0,0.0,781
2018-01-03T05:00:00Z,7502,8524,5.0,0.0,1402
2018-01-03T06:00:00Z,8440,9470,19.0,8.0,1963
2018-01-03T07:00:00Z,8824,9714,20.0,16.0,2091
2018-01-03T08:00:00Z,8992,9688,19.0,44.0,2201
2018-01-03T09:00:00Z,9168,9679,19.0,83.0,2261
2018-01-03T10:00:00Z,9251,9637,18.0,129.0,2299
2018-01-03T11:00:00Z,9206,9454,16.0,148.0,2312
2018-01-03T12:00:00Z,9223,9425,16.0,113.0,2107
2018-01-03T13:00:00Z,9157,9406,15.0,85.0,1734
2018-01-03T14:00:00Z,8994,9483,17.0,48.0,1629
2018-01-03T15:00:00Z,9220,9797,18.0,16.0,1985
2018-01-03T16:00:00Z,9475,10010,23.0,8.0,1933
2018-01-03T17:00:00Z,9274,9808,22.0,8.0,2008
2018-01-03T18:00:00Z,8713,9309,20.0,0.0,1811
2018-01-03T19:00:00Z,8247,8741,13.0,0.0,1781
2018-01-03T20:00:00Z,7652,8165,9.0,0.0,1792
2018-01-03T21:00:00Z,7553,7981,6.0,0.0,1935
2018-01-03T22:00:00Z,7064,7470,-4.0,0.0,1976
2018-01-03T23:00:00Z,6758,7002,-18.0,0.0,1975
2018-01-04T00:00:00Z,6450,6743,-24.0,0.0,2136
2018-01-04T01:00:00Z,6240,6608,-24.0,0.0,2093
2018-01-04T02:00:00Z,6052,6469,-20.0,0.0,2157
2018-01-04T03:00:00Z,6186,6644,-9.0,0.0,1765
2018-01-04T04:00:00Z,6729,7355,5.0,0.0,1666
2018-01-04T05:00:00Z,7480,8524,15.0,0.0,1706
2018-01-04T06:00:00Z,8296,9470,30.0,8.0,1510
2018-01-04T07:00:00Z,8694,9714,34.0,20.0,1454
2018-01-04T08:00:00Z,8945,9688,38.0,59.0,1479
2018-01-04T09:00:00Z,9097,9679,41.0,110.0,932
2018-01-04T10:00:00Z,9241,9637,43.0,147.0,861
2018-01-04T11:00:00Z,9179,9454,44.0,156.0,927
2018-01-04T12:00:00Z,9112,9425,44.0,134.0,700
2018-01-04T13:00:00Z,9009,9406,43.0,94.0,450
2018-01-04T14:00:00Z,9052,9483,44.0,48.0,448
2018-01-04T15:00:00Z,9318,9797,49.0,17.0,451
2018-01-04T16:00:00Z,9470,10010,52.0,8.0,693
2018-01-04T17:00:00Z,9338,9808,47.0,8.0,873
2018-01-04T18:00:00Z,8764,9309,43.0,0.0,785
2018-01-04T19:00:00Z,8157,8741,37.0,0.0,607
2018-01-04T20:00:00Z,7618,8165,30.0,0.0,710
2018-01-04T21:00:00Z,7523,7981,26.0,0.0,844
2018-01-04T22:00:00Z,7078,7470,19.0,0.0,865
2018-01-04T23:00:00Z,6670,6929,6.0,0.0,897
2018-01-05T00:00:00Z,6317,6649,1.0,0.0,787
2018-01-05T01:00:00Z,6144,6508,-2.0,0.0,522
2018-01-05T02:00:00Z,6028,6368,-2.0,0.0,363
2018-01-05T03:00:00Z,6078,6504,0.0,0.0,443
2018-01-05T04:00:00Z,6574,7188,5.0,0.0,491
2018-01-05T05:00:00Z,7384,8342,18.0,0.0,625
2018-01-05T06:00:00Z,8249,9265,29.0,8.0,592
2018-01-05T07:00:00Z,8647,9506,38.0,21.0,460
2018-01-05T08:00:00Z,8799,9515,39.0,63.0,377
2018-01-05T09:00:00Z,8821,9501,41.0,116.0,338
2018-01-05T10:00:00Z,8787,9416,42.0,154.0,240
2018-01-05T11:00:00Z,8639,9160,40.0,167.0,211
2018-01-05T12:00:00Z,8512,9009,38.0,152.0,306
2018-01-05T13:00:00Z,8504,8901,38.0,113.0,511
2018-01-05T14:00:00Z,8486,8942,39.0,60.0,703
2018-01-05T15:00:00Z,8789,9283,44.0,20.0,721
2018-01-05T16:00:00Z,9095,9552,50.0,9.0,585
2018-01-05T17:00:00Z,8913,9381,51.0,8.0,692
2018-01-05T18:00:00Z,8335,8866,47.0,0.0,706
