timestamp,load_actual_entsoe_transparency,load_forecast_entsoe_transparency,solar_capacity,solar_generation_actual,wind_onshore_capacity,wind_onshore_generation_actual
2017-12-31T23:00:00Z,7635.0,6906.6,619.0,0.22,64.0,29.05
2018-01-01T00:00:00Z,7131.13,6814.25,619.0,0.21,64.0,26.4
2018-01-01T01:00:00Z,7083.6,6764.38,619.0,0.21,64.0,29.13
2018-01-01T02:00:00Z,7251.83,6688.04,619.0,0.21,64.0,28.91
2018-01-01T03:00:00Z,7221.17,6685.24,619.0,0.21,64.0,28.72
2018-01-01T04:00:00Z,7020.78,6688.04,619.0,0.22,64.0,25.79
2018-01-01T05:00:00Z,7059.72,6688.05,619.0,0.22,64.0,24.8
2018-01-01T06:00:00Z,6968.94,6688.52,619.0,0.22,64.0,22.62
2018-01-01T07:00:00Z,6878.24,6689.17,619.0,1.71,64.0,19.28
2018-01-01T08:00:00Z,6945.21,6689.16,619.0,22.19,64.0,21.77
2018-01-01T09:00:00Z,7095.93,6750.07,619.0,64.71,64.0,24.39
2018-01-01T10:00:00Z,7203.61,6738.95,619.0,98.17,64.0,19.72
2018-01-01T11:00:00Z,7185.51,6687.09,619.0,107.21,64.0,25.75
2018-01-01T12:00:00Z,7584.26,6777.45,619.0,96.19,64.0,26.3
2018-01-01T13:00:00Z,7457.65,6722.95,619.0,54.76,64.0,21.91
2018-01-01T14:00:00Z,7198.69,6688.29,619.0,16.79,64.0,21.3
2018-01-01T15:00:00Z,7116.87,6700.73,619.0,2.14,64.0,21.24
2018-01-01T16:00:00Z,7368.78,6837.61,619.0,0.22,64.0,22.31
2018-01-01T17:00:00Z,7575.61,7160.39,619.0,0.22,64.0,21.9
2018-01-01T18:00:00Z,6686.09,7572.04,619.0,0.22,64.0,22.94
2018-01-01T19:00:00Z,6874.0,7564.24,619.0,0.22,64.0,22.99
2018-01-01T20:00:00Z,6492.71,7171.74,619.0,0.22,64.0,22.8
2018-01-01T21:00:00Z,7059.98,7120.42,619.0,0.22,64.0,22.79
2018-01-01T22:00:00Z,7288.0,7177.78,619.0,0.22,64.0,22.26
2018-01-01T23:00:00Z,7212.23,7077.61,619.0,0.25,64.0,20.68
2018-01-02T00:00:00Z,7077.72,7287.79,619.0,0.24,64.0,22.61
