utc_timestamp,cet_cest_timestamp,AT_load_actual_entsoe_transparency,AT_load_forecast_entsoe_transparency,AT_price_day_ahead,AT_solar_generation_actual,AT_wind_onshore_generation_actual,CH_load_actual_entsoe_transparency,CH_load_forecast_entsoe_transparency,CH_solar_capacity,CH_solar_generation_actual,CH_wind_onshore_capacity,CH_wind_onshore_generation_actual,FR_load_actual_entsoe_transparency,FR_load_forecast_entsoe_transparency,FR_solar_generation_actual,FR_wind_onshore_generation_actual
2017-12-31T23:00:00Z,2018-01-01T00:00:00+0100,6155,6675,-17,0,915,7635,6906.6,619,0.22,64,29.05,57638,56250,0,9808
2018-01-01T00:00:00Z,2018-01-01T01:00:00+0100,5934,6367,-31,0,832,7131.13,6814.25,619,0.21,64,26.4,56036,54300,0,9707
2018-01-01T01:00:00Z,2018-01-01T02:00:00+0100,5729,6230,-35,0,926,7083.6,6764.38,619,0.21,64,29.13,54494,53600,0,9502
2018-01-01T02:00:00Z,2018-01-01T03:00:00+0100,5467,6057,-40,0,692,7251.83,6688.04,619,0.21,64,28.91,51574,50000,0,9288
2018-01-01T03:00:00Z,2018-01-01T04:00:00+0100,5327,6048,-43,0,453,7221.17,6685.24,619,0.21,64,28.72,49370,47100,0,9005
2018-01-01T04:00:00Z,2018-01-01T05:00:00+0100,5423,6195,-50,0,321,7020.78,6688.04,619,0.22,64,25.79,49000,45850,0,9050
2018-01-01T05:00:00Z,2018-01-01T06:00:00+0100,5457,6339,-42,0,323,7059.72,6688.05,619,0.22,64,24.8,49333,45850,0,8925
2018-01-01T06:00:00Z,2018-01-01T07:00:00+0100,5892,6803,-44,8,332,6968.94,6688.52,619,0.22,64,22.62,49528,46000,0,9021
2018-01-01T07:00:00Z,2018-01-01T08:00:00+0100,6145,7153,-39,21,304,6878.24,6689.17,619,1.71,64,19.28,49360,46400,99,8820
2018-01-01T08:00:00Z,2018-01-01T09:00:00+0100,6508,7505,-33,66,276,6945.21,6689.16,619,22.19,64,21.77,50058,46950,490,8590
2018-01-01T09:00:00Z,2018-01-01T10:00:00+0100,6832,7738,-19,125,337,7095.93,6750.07,619,64.71,64,24.39,51855,49100,1125,8453
2018-01-01T10:00:00Z,2018-01-01T11:00:00+0100,7115,7843,-4,169,523,7203.61,6738.95,619,98.17,64,19.72,54412,51500,1550,8557
2018-01-01T11:00:00Z,2018-01-01T12:00:00+0100,7144,7679,-8,184,781,7185.51,6687.09,619,107.21,64,25.75,57142,54000,1534,8710
2018-01-01T12:00:00Z,2018-01-01T13:00:00+0100,7048,7498,-12,165,994,7584.26,6777.45,619,96.19,64,26.3,56650,55100,1363,8286
2018-01-01T13:00:00Z,2018-01-01T14:00:00+0100,6992,7393,-6,115,885,7457.65,6722.95,619,54.76,64,21.91,54628,52700,1095,7839
2018-01-01T14:00:00Z,2018-01-01T15:00:00+0100,6936,7427,1,56,739,7198.69,6688.29,619,16.79,64,21.3,53357,50950,642,7730
2018-01-01T15:00:00Z,2018-01-01T16:00:00+0100,7199,7829,8,18,495,7116.87,6700.73,619,2.14,64,21.24,53522,50550,222,8633
2018-01-01T16:00:00Z,2018-01-01T17:00:00+0100,7543,8186,15,8,233,7368.78,6837.61,619,0.22,64,22.31,56686,52600,48,9373
2018-01-01T17:00:00Z,2018-01-01T18:00:00+0100,7608,8183,18,8,197,7575.61,7160.39,619,0.22,64,21.9,60125,56500,0,9495
2018-01-01T18:00:00Z,2018-01-01T19:00:00+0100,7323,7901,24,0,221,6686.09,7572.04,619,0.22,64,22.94,61285,58050,0,9513
2018-01-01T19:00:00Z,2018-01-01T20:00:00+0100,6953,7569,32,0,215,6874,7564.24,619,0.22,64,22.99,59658,57700,0,9409
2018-01-01T20:00:00Z,2018-01-01T21:00:00+0100,6524,7248,29,0,187,6492.71,7171.74,619,0.22,64,22.8,57597,56400,0,9315
2018-01-01T21:00:00Z,2018-01-01T22:00:00+0100,6559,7362,31,0,150,7059.98,7120.42,619,0.22,64,22.79,58405,55550,0,8874
2018-01-01T22:00:00Z,2018-01-01T23:00:00+0100,6200,6935,24,0,135,7288,7177.78,619,0.22,64,22.26,59383,58500,0,8622
2018-01-01T23:00:00Z,2018-01-02T00:00:00+0100,5942,7002,16,0,234,7212.23,7077.61,619,0.25,64,20.68,56745,57750,0,8479
2018-01-02T00:00:00Z,2018-01-02T01:00:00+0100,5606,6743,16,0,337,7077.72,7287.79,619,0.24,64,22.61,54574,55200,0,8214
2018-01-02T01:00:00Z,2018-01-02T02:00:00+0100,5478,6608,11,0,504,7088.67,7368,619,0.24,64,22.4,53222,54950,0,7897
2018-01-02T02:00:00Z,2018-01-02T03:00:00+0100,5430,6469,10,0,572,7064.15,7414.24,619,0.25,64,22.13,50818,52150,0,7318
2018-01-02T03:00:00Z,2018-01-02T04:00:00+0100,5602,6644,15,0,451,6933.15,7416.81,619,0.24,64,23.06,50129,50750,0,6788
2018-01-02T04:00:00Z,2018-01-02T05:00:00+0100,6209,7355,21,0,484,6798.87,7517.71,619,0.25,64,23.45,52338,51900,0,6330
2018-01-02T05:00:00Z,2018-01-02T06:00:00+0100,7007,8524,27,0,680,6811.52,7523.74,619,0.24,64,23.54,56444,55050,0,5560
2018-01-02T06:00:00Z,2018-01-02T07:00:00+0100,7915,9470,36,8,1113,6382.1,7538.61,619,0.24,64,22.47,60260,59100,0,4786
2018-01-02T07:00:00Z,2018-01-02T08:00:00+0100,8401,9714,39,24,1606,6344.1,7530.24,619,1.55,64,21.17,62913,62750,84,4305
2018-01-02T08:00:00Z,2018-01-02T09:00:00+0100,8682,9688,44,78,1918,6556.48,7561.99,619,16.36,64,17.44,64712,64450,392,4094
2018-01-02T09:00:00Z,2018-01-02T10:00:00+0100,8770,9679,40,153,2037,6819.26,7649.15,619,42.56,64,15.1,66170,66100,881,4014
2018-01-02T10:00:00Z,2018-01-02T11:00:00+0100,8877,9637,41,208,2167,6943.06,7678.13,619,59.6,64,14.76,67635,66900,1199,3815
2018-01-02T11:00:00Z,2018-01-02T12:00:00+0100,8821,9454,41,226,2280,6993.98,7441.98,619,54.76,64,11.93,68827,68000,1196,3826
2018-01-02T12:00:00Z,2018-01-02T13:00:00+0100,8681,9425,38,206,2156,7097.61,6837.39,619,51.28,64,9.93,67686,68250,1183,4223
2018-01-02T13:00:00Z,2018-01-02T14:00:00+0100,8610,9406,35,154,2062,7089.63,6832.02,619,34.43,64,10.93,65983,66550,953,4719
2018-01-02T14:00:00Z,2018-01-02T15:00:00+0100,8656,9483,38,77,2037,6805.47,6958.75,619,15.96,64,11.48,64144,64200,566,5587
2018-01-02T15:00:00Z,2018-01-02T16:00:00+0100,8891,9797,40,22,1813,6682.26,6947.79,619,1.81,64,12.6,63700,63500,201,6749
2018-01-02T16:00:00Z,2018-01-02T17:00:00+0100,9273,10010,44,8,1659,6861.58,7352.32,619,0.26,64,10.8,65924,65200,63,7387
2018-01-02T17:00:00Z,2018-01-02T18:00:00+0100,9145,9808,42,8,1732,7238.4,7706.03,619,0.25,64,13.28,68326,68700,0,7879
2018-01-02T18:00:00Z,2018-01-02T19:00:00+0100,8651,9309,39,0,1679,7278.13,8023.73,619,0.25,64,23.1,67828,69300,0,8087
