hour,timestamp,metrics
168,2020-06-29T13:00:00Z,"{'MASE': np.float64(1.7964319440677103), 'PI_Coverage': np.float64(0.6488095238095238)}"
336,2020-07-06T13:00:00Z,"{'MASE': np.float64(2.2490320807740987), 'PI_Coverage': np.float64(0.44642857142857145)}"
504,2020-07-13T13:00:00Z,"{'MASE': np.float64(2.30597618711698), 'PI_Coverage': np.float64(0.47619047619047616)}"
672,2020-07-20T13:00:00Z,"{'MASE': np.float64(2.0735734391584226), 'PI_Coverage': np.float64(0.5)}"
840,2020-07-27T13:00:00Z,"{'MASE': np.float64(2.641682338284464), 'PI_Coverage': np.float64(0.4642857142857143)}"
1008,2020-08-03T13:00:00Z,"{'MASE': np.float64(3.168717462165238), 'PI_Coverage': np.float64(0.4880952380952381)}"
1176,2020-08-10T13:00:00Z,"{'MASE': np.float64(2.2053415631528495), 'PI_Coverage': np.float64(0.7380952380952381)}"
1344,2020-08-17T13:00:00Z,"{'MASE': np.float64(2.4832603180559363), 'PI_Coverage': np.float64(0.6547619047619048)}"
1512,2020-08-24T13:00:00Z,"{'MASE': np.float64(2.547036207991719), 'PI_Coverage': np.float64(0.6726190476190477)}"
1680,2020-08-31T13:00:00Z,"{'MASE': np.float64(2.504983381620156), 'PI_Coverage': np.float64(0.7023809523809523)}"
1848,2020-09-07T13:00:00Z,"{'MASE': np.float64(2.7884192708368167), 'PI_Coverage': np.float64(0.7083333333333334)}"
