hour,timestamp,metrics
168,2020-06-29T13:00:00Z,"{'MASE': np.float64(2.107987364564057), 'PI_Coverage': np.float64(0.8809523809523809)}"
336,2020-07-06T13:00:00Z,"{'MASE': np.float64(2.7449289593780617), 'PI_Coverage': np.float64(0.8154761904761905)}"
504,2020-07-13T13:00:00Z,"{'MASE': np.float64(3.138564644746369), 'PI_Coverage': np.float64(0.875)}"
672,2020-07-20T13:00:00Z,"{'MASE': np.float64(2.986912934650676), 'PI_Coverage': np.float64(0.8809523809523809)}"
840,2020-07-27T13:00:00Z,"{'MASE': np.float64(2.4381114775912733), 'PI_Coverage': np.float64(0.9047619047619048)}"
1008,2020-08-03T13:00:00Z,"{'MASE': np.float64(2.24045605589353), 'PI_Coverage': np.float64(0.9047619047619048)}"
1176,2020-08-10T13:00:00Z,"{'MASE': np.float64(1.7331983168905867), 'PI_Coverage': np.float64(0.9523809523809523)}"
1344,2020-08-17T13:00:00Z,"{'MASE': np.float64(3.162947337710393), 'PI_Coverage': np.float64(0.8273809523809523)}"
1512,2020-08-24T13:00:00Z,"{'MASE': np.float64(2.1309409900608784), 'PI_Coverage': np.float64(0.7738095238095238)}"
1680,2020-08-31T13:00:00Z,"{'MASE': np.float64(1.9765702376260346), 'PI_Coverage': np.float64(0.7440476190476191)}"
1848,2020-09-07T13:00:00Z,"{'MASE': np.float64(1.904159371429414), 'PI_Coverage': np.float64(0.9404761904761905)}"
